Timestamp,¿En qué semestre de Ingeniería en Sistemas Computacionales te encuentras actualmente?,¿En que carrera de la ESCOM estás cursando?,¿Cuál ha sido tu experiencia previa en entrevistas laborales (o simulaciones) para puestos en TI?,¿Cómo describirías tu nivel general de inglés conversacional?,"En una escala del 1 al 5, ¿qué tan cómodo(a) te sientes usando vocabulario técnico de tu área (programación, redes, bases de datos, etc.) en inglés?","En una escala del 1 al 5, ¿qué tan preparado(a) te sientes actualmente para una entrevista de trabajo EN INGLÉS para un puesto Junior en TI?",¿Cuál de las siguientes emociones predomina cuando piensas en tener que hacer una entrevista laboral EN INGLÉS?,¿Cuáles son tus principales dificultades al enfrentarte a una entrevista técnica en inglés? (Selecciona hasta 3 opciones),¿Cómo te preparas actualmente para mejorar tu desempeño en entrevistas de TI en inglés? (Puedes seleccionar varias),¿Has utilizado alguna herramienta de Inteligencia Artificial (IA) para practicar tus habilidades de inglés o simular entrevistas?,"¿Qué tan probable es que uses un simulador de entrevistas con IA, enfocado en puestos de TI Junior y que te da feedback personalizado en inglés?",¿Qué tan decepcionado(a) estarías si esta herramienta de simulación de entrevistas NO existiera o dejará de funcionar mañana?,"De las siguientes 5 posiciones entry-level, ¿cuál es la que te parece más atractiva o en la que te enfocarías en el corto plazo?",¿Cuál de las siguientes características sería la MÁS valiosa en un simulador de entrevistas con IA? (Elige solo 1),¿Te gustaría participar en la validación (Beta Testing) de esta herramienta y ser uno de los primeros en probar el simulador de IA de forma gratuita?,"Si esta herramienta te resultara útil, ¿qué tan probable es que la recomiendes a otros estudiantes de ESCOM que buscan empleo?"
5/11/2026 20:38:47,7mo Semestre,Ingeniería en Inteligencia Artificial (IIA),"He tenido entrevistas, pero solo en español","Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",2,2,Ansiedad o Miedo (Temor a no entender o cometer errores),"Falta de vocabulario técnico específico (ej. frameworks, metodologías), Poca fluidez al hablar o tartamudeo, Comprender la pregunta del entrevistador (Listening)","Utilizo apps de idiomas (Duolingo, Babbel, etc.), Practico con amigos o compañeros que hablan inglés","Sí, la he probado, pero no la uso regularmente",5,Moderadamente decepcionado(a),Frontend Developer,Recomendaciones personalizadas para estudiar después de la práctica.,"Tal vez, si el tiempo lo permite.",4
5/11/2026 20:40:00,6to Semestre,Ingeniería en Sistemas Computacionales (ISC),Ninguna experiencia previa en entrevistas o simulacros,"Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",3,3,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)",Manejo de los nervios (bloqueo mental),No realizo ninguna práctica específica actualmente,"No, nunca he usado IA para este fin",3,Moderadamente decepcionado(a),Junior DevOps,Retroalimentación inmediata sobre la gramática y el vocabulario técnico.,"Sí, me interesa mucho participar.",4
5/11/2026 20:40:31,7mo Semestre,Ingeniería en Inteligencia Artificial (IIA),He tenido entrevistas en inglés,Intermedio Alto (Puedo comunicarme con fluidez en la mayoría de los temas),4,4,Confianza (Me siento preparado para el reto),"Falta de vocabulario técnico específico (ej. frameworks, metodologías), Pronunciación incorrecta","Utilizo apps de idiomas (Duolingo, Babbel, etc.), Busco y practico preguntas típicas en inglés por mi cuenta, Leo documentación técnica, libros o blogs en inglés","Sí, la uso con frecuencia (ej. ChatGPT, Bing, otras IA de voz)",5,Un poco decepcionado(a),Junior DevOps,Retroalimentación inmediata sobre la gramática y el vocabulario técnico.,"Tal vez, si el tiempo lo permite.",4
5/11/2026 20:50:23,4to Semestre,Ingeniería en Sistemas Computacionales (ISC),Ninguna experiencia previa en entrevistas o simulacros,"Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",4,3,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Falta de vocabulario técnico específico (ej. frameworks, metodologías), Manejo de los nervios (bloqueo mental), Responder preguntas 'Behaviorales' (ej. Háblame de un desafío)","Busco y practico preguntas típicas en inglés por mi cuenta, Leo documentación técnica, libros o blogs en inglés","No, nunca he usado IA para este fin",3,Moderadamente decepcionado(a),Junior DevOps,Retroalimentación inmediata sobre la gramática y el vocabulario técnico.,"Tal vez, si el tiempo lo permite.",5
5/11/2026 20:59:09,7mo Semestre,Ingeniería en Sistemas Computacionales (ISC),He tenido entrevistas en inglés,Avanzado/Nativo (Me siento completamente cómodo en cualquier conversación),5,5,Motivación (Lo veo como una buena oportunidad),"No tengo dificultades, me siento muy preparado(a)",Busco y practico preguntas típicas en inglés por mi cuenta,"Sí, la he probado, pero no la uso regularmente",4,"No me decepcionaría, no es necesaria para mí",Backend Developer,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Tal vez, si el tiempo lo permite.",5
5/11/2026 21:09:25,7mo Semestre,Ingeniería en Sistemas Computacionales (ISC),Ninguna experiencia previa en entrevistas o simulacros,"Básico (Entiendo frases simples, pero tengo mucha dificultad para hablar)",3,2,Ansiedad o Miedo (Temor a no entender o cometer errores),"Falta de vocabulario técnico específico (ej. frameworks, metodologías), Poca fluidez al hablar o tartamudeo, Comprender la pregunta del entrevistador (Listening), Responder preguntas 'Behaviorales' (ej. Háblame de un desafío), Pronunciación incorrecta","Utilizo apps de idiomas (Duolingo, Babbel, etc.), Busco y practico preguntas típicas en inglés por mi cuenta","Sí, la he probado, pero no la uso regularmente",5,Un poco decepcionado(a),Junior DevOps,Retroalimentación inmediata sobre la gramática y el vocabulario técnico.,"Sí, me interesa mucho participar.",5
5/11/2026 21:09:51,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),He tenido entrevistas en inglés,Intermedio Alto (Puedo comunicarme con fluidez en la mayoría de los temas),3,3,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Manejo de los nervios (bloqueo mental), Responder preguntas 'Behaviorales' (ej. Háblame de un desafío), Pronunciación incorrecta","Utilizo apps de idiomas (Duolingo, Babbel, etc.), Busco y practico preguntas típicas en inglés por mi cuenta, Leo documentación técnica, libros o blogs en inglés","Sí, la uso con frecuencia (ej. ChatGPT, Bing, otras IA de voz)",3,Moderadamente decepcionado(a),Frontend Developer,Retroalimentación inmediata sobre la gramática y el vocabulario técnico.,"Sí, me interesa mucho participar.",3
5/11/2026 21:19:34,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),Ninguna experiencia previa en entrevistas o simulacros,"Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",3,3,Ansiedad o Miedo (Temor a no entender o cometer errores),"Poca fluidez al hablar o tartamudeo, Manejo de los nervios (bloqueo mental), Comprender la pregunta del entrevistador (Listening)",Tomo clases/cursos de inglés especializados,"Sí, la he probado, pero no la uso regularmente",4,Moderadamente decepcionado(a),Frontend Developer,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Tal vez, si el tiempo lo permite.",5
5/11/2026 21:35:14,4to Semestre,Ingeniería en Sistemas Computacionales (ISC),"He tenido entrevistas, pero solo en español","Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",3,1,Ansiedad o Miedo (Temor a no entender o cometer errores),"Falta de vocabulario técnico específico (ej. frameworks, metodologías), Poca fluidez al hablar o tartamudeo, Manejo de los nervios (bloqueo mental), Comprender la pregunta del entrevistador (Listening), Pronunciación incorrecta","Utilizo apps de idiomas (Duolingo, Babbel, etc.)",No sabía que existían herramientas de IA para simular entrevistas,5,"Muy decepcionado(a), me sería de gran ayuda",Frontend Developer,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Tal vez, si el tiempo lo permite.",5
5/11/2026 21:50:18,8vo Semestre,Ingeniería en Inteligencia Artificial (IIA),"He tenido entrevistas, pero solo en español",Intermedio Alto (Puedo comunicarme con fluidez en la mayoría de los temas),3,3,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Falta de vocabulario técnico específico (ej. frameworks, metodologías), Poca fluidez al hablar o tartamudeo","Utilizo apps de idiomas (Duolingo, Babbel, etc.), Practico con amigos o compañeros que hablan inglés","Sí, la he probado, pero no la uso regularmente",5,"Muy decepcionado(a), me sería de gran ayuda",QA Engineer/Tester,Evaluación de la fluidez y velocidad del habla (Speech Rate).,"Tal vez, si el tiempo lo permite.",5
5/11/2026 21:54:39,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),"He tenido entrevistas, pero solo en español",Intermedio Alto (Puedo comunicarme con fluidez en la mayoría de los temas),3,3,Motivación (Lo veo como una buena oportunidad),"Falta de vocabulario técnico específico (ej. frameworks, metodologías), Comprender la pregunta del entrevistador (Listening), Responder preguntas 'Behaviorales' (ej. Háblame de un desafío)","Tomo clases/cursos de inglés especializados, Leo documentación técnica, libros o blogs en inglés","Sí, la uso con frecuencia (ej. ChatGPT, Bing, otras IA de voz)",4,"Muy decepcionado(a), me sería de gran ayuda",data science,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Tal vez, si el tiempo lo permite.",4
5/11/2026 22:07:37,6to Semestre,Ingeniería en Sistemas Computacionales (ISC),Ninguna experiencia previa en entrevistas o simulacros,Intermedio Alto (Puedo comunicarme con fluidez en la mayoría de los temas),3,3,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Falta de vocabulario técnico específico (ej. frameworks, metodologías), Comprender la pregunta del entrevistador (Listening), Responder preguntas 'Behaviorales' (ej. Háblame de un desafío)","Leo documentación técnica, libros o blogs en inglés","No, nunca he usado IA para este fin",4,Moderadamente decepcionado(a),Data Analyst,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","No, gracias.",5
5/11/2026 22:20:42,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),He tenido entrevistas en inglés,Intermedio Alto (Puedo comunicarme con fluidez en la mayoría de los temas),3,4,Confianza (Me siento preparado para el reto),"Poca fluidez al hablar o tartamudeo, Manejo de los nervios (bloqueo mental), Responder preguntas 'Behaviorales' (ej. Háblame de un desafío)","Leo documentación técnica, libros o blogs en inglés","No, nunca he usado IA para este fin",4,Moderadamente decepcionado(a),Junior DevOps,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Sí, me interesa mucho participar.",5
5/11/2026 22:48:30,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),He tenido entrevistas en inglés,"Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",3,3,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Poca fluidez al hablar o tartamudeo, Comprender la pregunta del entrevistador (Listening), Responder preguntas 'Behaviorales' (ej. Háblame de un desafío)","Tomo clases/cursos de inglés especializados, Utilizo apps de idiomas (Duolingo, Babbel, etc.)","Sí, la he probado, pero no la uso regularmente",4,"Extremadamente decepcionado(a), es indispensable para mi preparación",Data Analyst,Recomendaciones personalizadas para estudiar después de la práctica.,"Sí, me interesa mucho participar.",5
5/11/2026 23:08:14,6to Semestre,Ingeniería en Sistemas Computacionales (ISC),"He tenido entrevistas, pero solo en español","Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",3,1,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Falta de vocabulario técnico específico (ej. frameworks, metodologías), Poca fluidez al hablar o tartamudeo","Utilizo apps de idiomas (Duolingo, Babbel, etc.), Practico con amigos o compañeros que hablan inglés","Sí, la uso con frecuencia (ej. ChatGPT, Bing, otras IA de voz)",5,Moderadamente decepcionado(a),Frontend Developer,Recomendaciones personalizadas para estudiar después de la práctica.,"Sí, me interesa mucho participar.",5
5/12/2026 1:28:09,4to Semestre,Ingeniería en Inteligencia Artificial (IIA),"He tenido entrevistas, pero solo en español","Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",3,3,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Poca fluidez al hablar o tartamudeo, Comprender la pregunta del entrevistador (Listening), Responder preguntas 'Behaviorales' (ej. Háblame de un desafío)","Tomo clases/cursos de inglés especializados, Utilizo apps de idiomas (Duolingo, Babbel, etc.), Busco y practico preguntas típicas en inglés por mi cuenta, Leo documentación técnica, libros o blogs en inglés","Sí, la he probado, pero no la uso regularmente",4,Moderadamente decepcionado(a),Data Analyst,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Tal vez, si el tiempo lo permite.",4
5/12/2026 7:27:15,5to Semestre,Ingeniería en Sistemas Computacionales (ISC),Ninguna experiencia previa en entrevistas o simulacros,Intermedio Alto (Puedo comunicarme con fluidez en la mayoría de los temas),3,2,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Falta de vocabulario técnico específico (ej. frameworks, metodologías), Comprender la pregunta del entrevistador (Listening), Responder preguntas 'Behaviorales' (ej. Háblame de un desafío)",No realizo ninguna práctica específica actualmente,No sabía que existían herramientas de IA para simular entrevistas,5,Un poco decepcionado(a),Frontend Developer,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Sí, me interesa mucho participar.",5
5/12/2026 15:00:00,7mo Semestre,Ingeniería en Inteligencia Artificial (IIA),Ninguna experiencia previa en entrevistas o simulacros,"Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",1,2,Ansiedad o Miedo (Temor a no entender o cometer errores),"Falta de vocabulario técnico específico (ej. frameworks, metodologías), Manejo de los nervios (bloqueo mental), Pronunciación incorrecta","Tomo clases/cursos de inglés especializados, Busco y practico preguntas típicas en inglés por mi cuenta, Leo documentación técnica, libros o blogs en inglés","No, nunca he usado IA para este fin",4,Un poco decepcionado(a),QA Engineer/Tester,Evaluación de la fluidez y velocidad del habla (Speech Rate).,"Tal vez, si el tiempo lo permite.",5
5/12/2026 17:53:45,7mo Semestre,Ingeniería en Sistemas Computacionales (ISC),Ninguna experiencia previa en entrevistas o simulacros,"Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",2,2,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Falta de vocabulario técnico específico (ej. frameworks, metodologías), Poca fluidez al hablar o tartamudeo",Practico con amigos o compañeros que hablan inglés,"No, nunca he usado IA para este fin",3,Moderadamente decepcionado(a),Backend Developer,Retroalimentación inmediata sobre la gramática y el vocabulario técnico.,"Sí, me interesa mucho participar.",5
5/12/2026 17:56:37,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),He tenido entrevistas en inglés,"Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",4,3,Ansiedad o Miedo (Temor a no entender o cometer errores),"Falta de vocabulario técnico específico (ej. frameworks, metodologías), Comprender la pregunta del entrevistador (Listening), Responder preguntas 'Behaviorales' (ej. Háblame de un desafío)",Busco y practico preguntas típicas en inglés por mi cuenta,"No, nunca he usado IA para este fin",4,Un poco decepcionado(a),Frontend Developer,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Tal vez, si el tiempo lo permite.",4
5/12/2026 18:51:32,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),Ninguna experiencia previa en entrevistas o simulacros,Avanzado/Nativo (Me siento completamente cómodo en cualquier conversación),4,4,Motivación (Lo veo como una buena oportunidad),"Manejo de los nervios (bloqueo mental), Pronunciación incorrecta",No realizo ninguna práctica específica actualmente,"No, nunca he usado IA para este fin",5,Un poco decepcionado(a),Backend Developer,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Tal vez, si el tiempo lo permite.",5
5/12/2026 19:00:53,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),Ninguna experiencia previa en entrevistas o simulacros,"Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",3,3,Ansiedad o Miedo (Temor a no entender o cometer errores),"Poca fluidez al hablar o tartamudeo, Comprender la pregunta del entrevistador (Listening), Pronunciación incorrecta",No realizo ninguna práctica específica actualmente,"Sí, la he probado, pero no la uso regularmente",4,Un poco decepcionado(a),Data Analyst,Recomendaciones personalizadas para estudiar después de la práctica.,"Sí, me interesa mucho participar.",4
5/13/2026 8:18:22,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),He tenido entrevistas en inglés,"Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",5,4,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Poca fluidez al hablar o tartamudeo, Pronunciación incorrecta","Tomo clases/cursos de inglés especializados, Utilizo apps de idiomas (Duolingo, Babbel, etc.)","Sí, la he probado, pero no la uso regularmente",4,Un poco decepcionado(a),Backend Developer,Retroalimentación inmediata sobre la gramática y el vocabulario técnico.,"Sí, me interesa mucho participar.",5
5/18/2026 13:55:43,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),"He tenido entrevistas, pero solo en español","Básico (Entiendo frases simples, pero tengo mucha dificultad para hablar)",4,3,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)",Poca fluidez al hablar o tartamudeo,Tomo clases/cursos de inglés especializados,"Sí, la uso con frecuencia (ej. ChatGPT, Bing, otras IA de voz)",2,Moderadamente decepcionado(a),QA Engineer/Tester,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Sí, me interesa mucho participar.",3
5/18/2026 13:57:00,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),"He tenido entrevistas, pero solo en español","Básico (Entiendo frases simples, pero tengo mucha dificultad para hablar)",3,2,Indiferencia (No he pensado en ello),"Falta de vocabulario técnico específico (ej. frameworks, metodologías), Comprender la pregunta del entrevistador (Listening), Responder preguntas 'Behaviorales' (ej. Háblame de un desafío)",No realizo ninguna práctica específica actualmente,"No, nunca he usado IA para este fin",3,Moderadamente decepcionado(a),QA Engineer/Tester,"Simulación de entrevistas con preguntas específicas por rol (Junior Dev, QA, etc.).","Tal vez, si el tiempo lo permite.",5
5/18/2026 13:57:24,8vo Semestre,Ingeniería en Inteligencia Artificial (IIA),"He tenido entrevistas, pero solo en español","Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",3,2,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Poca fluidez al hablar o tartamudeo, Comprender la pregunta del entrevistador (Listening), Pronunciación incorrecta","Tomo clases/cursos de inglés especializados, Busco y practico preguntas típicas en inglés por mi cuenta, Practico con amigos o compañeros que hablan inglés","Sí, la he probado, pero no la uso regularmente",4,Moderadamente decepcionado(a),Data Analyst,Retroalimentación inmediata sobre la gramática y el vocabulario técnico.,"Sí, me interesa mucho participar.",3
5/18/2026 13:57:24,8vo Semestre,Ingeniería en Sistemas Computacionales (ISC),"He tenido entrevistas, pero solo en español","Intermedio (Puedo mantener conversaciones sencillas, pero me faltan vocabulario y fluidez)",3,3,"Nerviosismo Controlado (Me siento un poco nervioso, pero puedo manejarlo)","Falta de vocabulario técnico específico (ej. frameworks, metodologías), Poca fluidez al hablar o tartamudeo",Busco y practico preguntas típicas en inglés por mi cuenta,"Sí, la uso con frecuencia (ej. ChatGPT, Bing, otras IA de voz)",1,"No me decepcionaría, no es necesaria para mí",QA Engineer/Tester,Evaluación de la fluidez y velocidad del habla (Speech Rate).,"Sí, me interesa mucho participar.",1
